,,,
,15 Mar,7:30,fri
,16 Mar,7:30,fri
,17 Mar,7:30,fri
,Total,37:30:00,0:00:00
,,,
12,20 Mar,7:30,fri
,21 Mar,7:30,fri
,22 Mar,7:30,fri
,23 Mar,7:30,fri
,24 Mar,7:30,fri
,Total,37:30:00,0:00:00
,,,
13,27 Mar,7:40,
,28 Mar,6:50,
,29 Mar,6:55,
,30 Mar,8:10,
,31 Mar,7:00,
,Total,36:35:00,-0:55:00
,,,
14,3 Apr,9:30,
,4 Apr,7:10,
,5 Apr,7:55,
,6 Apr,7:00,
,7 Apr,7:30,Syg
,Total,39:05:00,1:35:00
,,,
15,10 Apr,7:30,Syg
,11 Apr,7:30,Syg
,12 Apr,7:30,Syg
,13 Apr,7:30,
,14 Apr,7:30,
,Total,37:30:00,0:00:00
,,,
16,17 Apr,7:30,
,18 Apr,7:40,
,19 Apr,8:40,
,20 Apr,9:00,
,21 Apr,8:00,
,Total,40:50:00,3:20:00
,,,
17,24 Apr,2:00,
,25 Apr,8:00,
,26 Apr,7:30,
,27 Apr,4:30,
,28 Apr,7:30,
,Total,29:30:00,-8:00:00
,,,
18,1 May,7:20,
,2 May,9:00,
,3 May,5:30,
,4 May,8:00,
,5 May,7:15,
,Total,37:05:00,-0:25:00
,,,
19,8 May,8:20,
,9 May,5:05,
,10 May,7:30,
,11 May,8:25,
,12 May,7:30,
,Total,36:50:00,-0:40:00
,,,
20,15 May,0:00,
,16 May,7:10,
,17 May,7:50,
,18 May,7:10,
,19 May,7:35,
,Total,29:45:00,-7:45:00
,,,
21,22 May,7:35,
,23 May,6:40,
,24 May,9:30,inkl. weekend arbejde
,25 May,7:30,Helligdag
,26 May,7:30,fri
,Total,38:45:00,1:15:00
,,,
22,29 May,7:05,
,30 May,7:05,
,31 May,8:25,
,1 Jun,7:30,
,2 Jun,7:45,
,Total,37:50:00,0:20:00
,,,
43,23 Oct,8:00,
,24 Oct,6:45,
,25 Oct,6:45,
,26 Oct,7:30,
,27 Oct,2:00,
,Total,31:00:00,-6:30:00
,,,
44,30 Oct,7:00,
,31 Oct,7:00,
,1 Nov,3:00,
,2 Nov,7:30,
,3 Nov,7:00,
,Total,31:30:00,-6:00:00
,,,
45,6 Nov,7:45,
,7 Nov,6:30,
,8 Nov,6:30,
,9 Nov,7:30,Fri
,10 Nov,7:30,Flyttefri
,Total,35:45:00,-1:45:00
,,,
46,13 Nov,7:30,Fri
,14 Nov,7:30,Fri
,15 Nov,7:30,Fri
,16 Nov,7:30,Fri
,17 Nov,7:30,Fri
,Total,37:30:00,0:00:00
,,,
47,20 Nov,7:35,
,21 Nov,6:30,
,22 Nov,8:10,
,23 Nov,11:00,
,24 Nov,7:50,
,Total,41:05:00,3:35:00
,,,
48,27 Nov,6:45,
,28 Nov,7:45,
,29 Nov,7:40,
,30 Nov,7:50,
,1 Dec,9:30,
,Total,39:30:00,2:00:00
,,,
49,4 Dec,8:00,
,5 Dec,6:40,
,6 Dec,7:55,
,7 Dec,7:45,
,8 Dec,6:50,
,Total,37:10:00,-0:20:00
,,,
50,11 Dec,6:30,
,12 Dec,6:30,
,13 Dec,7:30,
,14 Dec,6:10,
